observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
2021-07-20_Trifolium-sp-01-EC_IMG_20210720_112310_box1,2021-07-20_Trifolium-sp-01-EC,2021-07-20_Trifolium-sp-01-EC_IMG_20210720_112310,seq_349,2021-07-20T11:23:10+00:00,2021-07-20T11:23:10+00:00,media,animal,,Formicidae,1,adult,,,,,,,0.595,0.365,0.0375,0.08,human,Aspen Workman,,,"bboxFormat:normXYWH_fullFrame|bboxPx:952,438,60,96|imgSizePx:1600,1200|roiPx:585,178,445,448|croppedFile:media/cropped/img_crop_05423.jpg|deepestRank:family|conf_order:high|conf_family:high|plant_genus:trifolium|plant_epithet:pratense|plant_folder:Trifolium-sp-01-EC|nBoxesInFrame:1",
2021-07-20_Trifolium-sp-01-EC_IMG_20210720_112353_box1,2021-07-20_Trifolium-sp-01-EC,2021-07-20_Trifolium-sp-01-EC_IMG_20210720_112353,seq_349,2021-07-20T11:23:53+00:00,2021-07-20T11:23:53+00:00,media,animal,,Formicidae,1,adult,,,,,,,0.49125,0.4841666666666667,0.06,0.06416666666666666,human,Aspen Workman,,,"bboxFormat:normXYWH_fullFrame|bboxPx:786,581,96,77|imgSizePx:1600,1200|roiPx:585,178,445,448|croppedFile:media/cropped/img_crop_05440.jpg|deepestRank:family|conf_order:high|conf_family:high|plant_genus:trifolium|plant_epithet:pratense|plant_folder:Trifolium-sp-01-EC|nBoxesInFrame:1",
2021-07-23_Daucus-carota-02-EC_IMG_20210723_122502_box1,2021-07-23_Daucus-carota-02-EC,2021-07-23_Daucus-carota-02-EC_IMG_20210723_122502,seq_705,2021-07-23T12:25:02+00:00,2021-07-23T12:25:02+00:00,media,animal,,Halictidae,1,adult,,,,,,,0.426875,0.2325,0.0325,0.0425,human,Aspen Workman,,,"bboxFormat:normXYWH_fullFrame|bboxPx:683,279,52,51|imgSizePx:1600,1200|roiPx:699,174,539,561|croppedFile:media/cropped/img_crop_11490.jpg|deepestRank:family|conf_order:high|conf_superfamily:high|conf_family:low|plant_genus:daucus|plant_epithet:carota|plant_folder:Daucus-carota-02-EC|nBoxesInFrame:1",
2021-07-23_Daucus-carota-02-EC_IMG_20210723_122506_box1,2021-07-23_Daucus-carota-02-EC,2021-07-23_Daucus-carota-02-EC_IMG_20210723_122506,seq_705,2021-07-23T12:25:06+00:00,2021-07-23T12:25:06+00:00,media,animal,,Halictidae,1,adult,,,,,,,0.464375,0.21583333333333332,0.05875,0.06,human,Aspen Workman,,,"bboxFormat:normXYWH_fullFrame|bboxPx:743,259,94,72|imgSizePx:1600,1200|roiPx:699,174,539,561|croppedFile:media/cropped/img_crop_11492.jpg|deepestRank:family|conf_order:high|conf_superfamily:high|conf_family:low|plant_genus:daucus|plant_epithet:carota|plant_folder:Daucus-carota-02-EC|nBoxesInFrame:1",
2021-07-23_Daucus-carota-02-EC_IMG_20210723_122508_box1,2021-07-23_Daucus-carota-02-EC,2021-07-23_Daucus-carota-02-EC_IMG_20210723_122508,seq_705,2021-07-23T12:25:08+00:00,2021-07-23T12:25:08+00:00,media,animal,,Halictidae,1,adult,,,,,,,0.504375,0.14416666666666667,0.0475,0.0625,human,Aspen Workman,,,"bboxFormat:normXYWH_fullFrame|bboxPx:807,173,76,75|imgSizePx:1600,1200|roiPx:699,174,539,561|croppedFile:media/cropped/img_crop_11493.jpg|deepestRank:family|conf_order:high|conf_superfamily:high|conf_family:low|plant_genus:daucus|plant_epithet:carota|plant_folder:Daucus-carota-02-EC|nBoxesInFrame:1",
2021-08-11_Achillea-millefolium-bs-01_IMG_20210811_114248_box1,2021-08-11_Achillea-millefolium-bs-01,2021-08-11_Achillea-millefolium-bs-01_IMG_20210811_114248,seq_1034,2021-08-11T11:42:48+00:00,2021-08-11T11:42:48+00:00,media,animal,,Myathropa florea,1,adult,male,,,,,,0.1975,0.45,0.344375,0.42333333333333334,human,Jared C. Cobain,,,"bboxFormat:normXYWH_fullFrame|bboxPx:316,540,551,508|imgSizePx:1600,1200|roiPx:362,258,767,885|croppedFile:media/cropped/img_crop_18079.jpg|deepestRank:species|conf_order:high|conf_genus:high|conf_species:high|conf_species_sex:high|plant_genus:achillea|plant_epithet:millefolium|plant_folder:Achillea-millefolium-bs-01|nBoxesInFrame:1",
2021-08-11_Achillea-millefolium-bs-01_IMG_20210811_114250_box1,2021-08-11_Achillea-millefolium-bs-01,2021-08-11_Achillea-millefolium-bs-01_IMG_20210811_114250,seq_1034,2021-08-11T11:42:50+00:00,2021-08-11T11:42:50+00:00,media,animal,,Myathropa florea,1,adult,male,,,,,,0.405625,0.55,0.300625,0.45,human,Jared C. Cobain,,,"bboxFormat:normXYWH_fullFrame|bboxPx:649,660,481,540|imgSizePx:1600,1200|roiPx:362,258,767,885|croppedFile:media/cropped/img_crop_18081.jpg|deepestRank:species|conf_order:high|conf_genus:high|conf_species:high|conf_species_sex:high|plant_genus:achillea|plant_epithet:millefolium|plant_folder:Achillea-millefolium-bs-01|nBoxesInFrame:1",
2021-08-11_Achillea-millefolium-bs-01_IMG_20210811_114252_box1,2021-08-11_Achillea-millefolium-bs-01,2021-08-11_Achillea-millefolium-bs-01_IMG_20210811_114252,seq_1034,2021-08-11T11:42:52+00:00,2021-08-11T11:42:52+00:00,media,animal,,Myathropa florea,1,adult,male,,,,,,0.60625,0.2708333333333333,0.344375,0.21,human,Jared C. Cobain,,,"bboxFormat:normXYWH_fullFrame|bboxPx:970,325,551,252|imgSizePx:1600,1200|roiPx:362,258,767,885|croppedFile:media/cropped/img_crop_18083.jpg|deepestRank:species|conf_order:high|conf_genus:high|conf_species:high|conf_species_sex:high|plant_genus:achillea|plant_epithet:millefolium|plant_folder:Achillea-millefolium-bs-01|nBoxesInFrame:1",
2021-08-14_Achillea-millefolium-bs-01_IMG_20210814_145938_box1,2021-08-14_Achillea-millefolium-bs-01,2021-08-14_Achillea-millefolium-bs-01_IMG_20210814_145938,seq_1240,2021-08-14T14:59:38+00:00,2021-08-14T14:59:38+00:00,media,animal,,Hylaeus,1,adult,,,,,,,0.240625,0.31333333333333335,0.056875,0.085,human,Aspen Workman,,,"bboxFormat:normXYWH_fullFrame|bboxPx:385,376,91,102|imgSizePx:1600,1200|roiPx:392,169,804,639|croppedFile:media/cropped/img_crop_21683.jpg|deepestRank:genus|conf_order:high|conf_genus:high|plant_genus:achillea|plant_epithet:millefolium|plant_folder:Achillea-millefolium-bs-01|nBoxesInFrame:1",
2021-08-14_Achillea-millefolium-bs-01_IMG_20210814_145944_box1,2021-08-14_Achillea-millefolium-bs-01,2021-08-14_Achillea-millefolium-bs-01_IMG_20210814_145944,seq_1240,2021-08-14T14:59:43+00:00,2021-08-14T14:59:43+00:00,media,animal,,Hylaeus,1,adult,,,,,,,0.2875,0.2791666666666667,0.058125,0.06166666666666667,human,Aspen Workman,,,"bboxFormat:normXYWH_fullFrame|bboxPx:460,335,93,74|imgSizePx:1600,1200|roiPx:392,169,804,639|croppedFile:media/cropped/img_crop_21687.jpg|deepestRank:genus|conf_order:high|conf_genus:high|plant_genus:achillea|plant_epithet:millefolium|plant_folder:Achillea-millefolium-bs-01|nBoxesInFrame:1",
2021-08-14_Achillea-millefolium-bs-01_IMG_20210814_145949_box1,2021-08-14_Achillea-millefolium-bs-01,2021-08-14_Achillea-millefolium-bs-01_IMG_20210814_145949,seq_1240,2021-08-14T14:59:49+00:00,2021-08-14T14:59:49+00:00,media,animal,,Hylaeus,1,adult,,,,,,,0.383125,0.5516666666666666,0.066875,0.10083333333333333,human,Aspen Workman,,,"bboxFormat:normXYWH_fullFrame|bboxPx:613,662,107,121|imgSizePx:1600,1200|roiPx:392,169,804,639|croppedFile:media/cropped/img_crop_21691.jpg|deepestRank:genus|conf_order:high|conf_genus:high|plant_genus:achillea|plant_epithet:millefolium|plant_folder:Achillea-millefolium-bs-01|nBoxesInFrame:1",
2021-08-14_Achillea-millefolium-bs-01_IMG_20210814_150428_box1,2021-08-14_Achillea-millefolium-bs-01,2021-08-14_Achillea-millefolium-bs-01_IMG_20210814_150428,seq_1241,2021-08-14T15:04:28+00:00,2021-08-14T15:04:28+00:00,media,animal,,Syrphidae,1,adult,,,,,,,0.209375,0.31,0.06125,0.07333333333333333,human,Jared C. Cobain,,,"bboxFormat:normXYWH_fullFrame|bboxPx:335,372,98,88|imgSizePx:1600,1200|roiPx:392,169,804,639|croppedFile:media/cropped/img_crop_21692.jpg|deepestRank:clustergenera|conf_order:high|conf_suborder:high|conf_infraorder:high|conf_superfamily:high|conf_family:high|conf_clustergenera:low|clustergenera:syritta/tropidia|plant_genus:achillea|plant_epithet:millefolium|plant_folder:Achillea-millefolium-bs-01|nBoxesInFrame:1",
2021-08-14_Achillea-millefolium-bs-01_IMG_20210814_150439_box1,2021-08-14_Achillea-millefolium-bs-01,2021-08-14_Achillea-millefolium-bs-01_IMG_20210814_150439,seq_1241,2021-08-14T15:04:39+00:00,2021-08-14T15:04:39+00:00,media,animal,,Syrphidae,1,adult,,,,,,,0.24,0.32666666666666666,0.053125,0.10416666666666667,human,Jared C. Cobain,,,"bboxFormat:normXYWH_fullFrame|bboxPx:384,392,85,125|imgSizePx:1600,1200|roiPx:392,169,804,639|croppedFile:media/cropped/img_crop_21701.jpg|deepestRank:clustergenera|conf_order:high|conf_suborder:high|conf_infraorder:high|conf_superfamily:high|conf_family:high|conf_clustergenera:low|clustergenera:syritta/tropidia|plant_genus:achillea|plant_epithet:millefolium|plant_folder:Achillea-millefolium-bs-01|nBoxesInFrame:1",
2021-08-14_Achillea-millefolium-bs-01_IMG_20210814_150449_box1,2021-08-14_Achillea-millefolium-bs-01,2021-08-14_Achillea-millefolium-bs-01_IMG_20210814_150449,seq_1241,2021-08-14T15:04:49+00:00,2021-08-14T15:04:49+00:00,media,animal,,Syrphidae,1,adult,,,,,,,0.390625,0.5075,0.079375,0.075,human,Jared C. Cobain,,,"bboxFormat:normXYWH_fullFrame|bboxPx:625,609,127,90|imgSizePx:1600,1200|roiPx:392,169,804,639|croppedFile:media/cropped/img_crop_21709.jpg|deepestRank:clustergenera|conf_order:high|conf_suborder:high|conf_infraorder:high|conf_superfamily:high|conf_family:high|conf_clustergenera:low|clustergenera:syritta/tropidia|plant_genus:achillea|plant_epithet:millefolium|plant_folder:Achillea-millefolium-bs-01|nBoxesInFrame:1",
2021-07-23_Daucus-carota-02-EC_IMG_20210723_120910_box2,2021-07-23_Daucus-carota-02-EC,2021-07-23_Daucus-carota-02-EC_IMG_20210723_120910,seq_702,2021-07-23T12:09:10+00:00,2021-07-23T12:09:10+00:00,media,animal,,Sphaerophoria,1,adult,female,,,,,,0.628125,0.47833333333333333,0.065625,0.09,human,Jared C. Cobain,,,"bboxFormat:normXYWH_fullFrame|bboxPx:1005,574,105,108|imgSizePx:1600,1200|roiPx:702,148,527,561|croppedFile:media/cropped/img_crop_11449.jpg|deepestRank:genus|conf_order:high|conf_genus:high|conf_species_sex:high|plant_genus:daucus|plant_epithet:carota|plant_folder:Daucus-carota-02-EC|nBoxesInFrame:2",
2021-07-20_Trifolium-sp-01-EC_event_seq349,2021-07-20_Trifolium-sp-01-EC,,seq_349,2021-07-20T11:21:07+00:00,2021-07-20T11:23:53+00:00,event,animal,,Formicidae,1,adult,,,,,,,,,,,human,Aspen Workman,,,,
2021-07-20_Trifolium-sp-01-EC_event_seq350,2021-07-20_Trifolium-sp-01-EC,,seq_350,2021-07-20T11:46:47+00:00,2021-07-20T11:46:56+00:00,event,animal,,Bombus,1,adult,,,,,,,,,,,human,Aspen Workman,,,,
2021-07-23_Daucus-carota-02-EC_event_seq702,2021-07-23_Daucus-carota-02-EC,,seq_702,2021-07-23T12:09:10+00:00,2021-07-23T12:09:10+00:00,event,animal,,Sphaerophoria,1,adult,,,,,,,,,,,human,Jared C. Cobain,,,,
2021-07-23_Daucus-carota-02-EC_event_seq705,2021-07-23_Daucus-carota-02-EC,,seq_705,2021-07-23T12:25:02+00:00,2021-07-23T12:25:08+00:00,event,animal,,Halictidae,1,adult,,,,,,,,,,,human,Aspen Workman,,,,
2021-07-27_Trifolium-sp-01-EC_event_seq803,2021-07-27_Trifolium-sp-01-EC,,seq_803,2021-07-27T12:36:45+00:00,2021-07-27T12:37:05+00:00,event,animal,,Araneae,1,adult,,,,,,,,,,,human,Jared C. Cobain,,,,
2021-07-27_Trifolium-sp-01-EC_event_seq804,2021-07-27_Trifolium-sp-01-EC,,seq_804,2021-07-27T12:49:37+00:00,2021-07-27T12:49:40+00:00,event,animal,,Episyrphus balteatus,1,adult,,,,,,,,,,,human,Jared C. Cobain,,,,
2021-08-11_Achillea-millefolium-bs-01_event_seq1034,2021-08-11_Achillea-millefolium-bs-01,,seq_1034,2021-08-11T11:42:48+00:00,2021-08-11T11:42:52+00:00,event,animal,,Myathropa florea,1,adult,,,,,,,,,,,human,Jared C. Cobain,,,,
2021-08-14_Achillea-millefolium-bs-01_event_seq1240,2021-08-14_Achillea-millefolium-bs-01,,seq_1240,2021-08-14T14:59:38+00:00,2021-08-14T14:59:49+00:00,event,animal,,Hylaeus,1,adult,,,,,,,,,,,human,Aspen Workman,,,,
2021-08-14_Achillea-millefolium-bs-01_event_seq1241,2021-08-14_Achillea-millefolium-bs-01,,seq_1241,2021-08-14T15:04:28+00:00,2021-08-14T15:04:49+00:00,event,animal,,Syrphidae,1,adult,,,,,,,,,,,human,Jared C. Cobain,,,,
2021-07-20_Trifolium-sp-01-EC_IMG_20210720_112120_blank,2021-07-20_Trifolium-sp-01-EC,2021-07-20_Trifolium-sp-01-EC_IMG_20210720_112120,,2021-07-20T11:21:20+00:00,2021-07-20T11:21:20+00:00,media,blank,,,,,,,,,,,,,,,human,,,,,
2021-07-23_Daucus-carota-02-EC_IMG_20210723_120038_blank,2021-07-23_Daucus-carota-02-EC,2021-07-23_Daucus-carota-02-EC_IMG_20210723_120038,,2021-07-23T12:00:38+00:00,2021-07-23T12:00:38+00:00,media,blank,,,,,,,,,,,,,,,human,,,,,
2021-07-27_Trifolium-sp-01-EC_IMG_20210727_120928_blank,2021-07-27_Trifolium-sp-01-EC,2021-07-27_Trifolium-sp-01-EC_IMG_20210727_120928,,2021-07-27T12:09:28+00:00,2021-07-27T12:09:28+00:00,media,blank,,,,,,,,,,,,,,,human,,,,,
2021-08-11_Achillea-millefolium-bs-01_IMG_20210811_112525_blank,2021-08-11_Achillea-millefolium-bs-01,2021-08-11_Achillea-millefolium-bs-01_IMG_20210811_112525,,2021-08-11T11:25:25+00:00,2021-08-11T11:25:25+00:00,media,blank,,,,,,,,,,,,,,,human,,,,,
2021-08-14_Achillea-millefolium-bs-01_IMG_20210814_143740_blank,2021-08-14_Achillea-millefolium-bs-01,2021-08-14_Achillea-millefolium-bs-01_IMG_20210814_143740,,2021-08-14T14:37:40+00:00,2021-08-14T14:37:40+00:00,media,blank,,,,,,,,,,,,,,,human,,,,,
